artist,track,album,tags,duration_ms
DaBaby,HIT,HIT,rap|Hip-Hop|trap,125000
Ciara,Overdose,Ciara,rnb|pop|Hip-Hop,227000
Hannah Montana,Bigger Than Us,Hannah Montana 2 / Meet Miley Cyrus,pop|Disney|female vocalists,177000
Parker McCollum,I Can't Breathe,Probably Wrong: Session One,country|americana|folk,257000
R. Kelly,Legs Shakin' (Feat. Ludacris),,rnb|soul|Hip-Hop,266000
Lulu,bubble,,60s|pop|female vocalists,0
Prism,Pilly,Pilly - Single,rock|classic rock|Canadian,189000
Freddie Jackson,Rock Me Tonight (For Old Time's Sake),Ballads,soul|rnb|Freddie Jackson,243000
Young Thug,Climax (feat. 6lack),On the Run,Hip-Hop|trap|rap,189000
The Fray,Over My Head,Over My Head,alternative|rock|piano rock,239000
Baby Keem,bank account (with Lil Uzi Vert),,rap|Hip-Hop|trap,214000
3OH!3,Still Around,Want,electronic|Hip-Hop|Crunk,188000
Megan Thee Stallion,Realer,Fever,rap|Hip-Hop|trap,101000
Jessie Murph,If I Died Last Night,drowning,pop|country|Passion of Discovery,164000
Latto,Georgia Peach,Sugar Honey Iced Tea [Clean] [Clean],rap|Hip-Hop|trap,147000
Leona Lewis,I See You (Theme from Avatar),Avatar Music From The Motion Picture Music Composed And Conducted By James Horner,pop|female vocalists|rnb,225000
Natasha Bedingfield,Pocket Full of Sunshine,Girls Rock,pop|female vocalists|british,0
Pentatonix,"A Little Space (feat. YUNHO, SAN, JONGHO of ATEEZ)",,a cappella|pop|futuristic,0
NLE Choppa,SHAKE IT,"It's a (T)Rap - Rap, Trap & Hip Hop Culture",trap|rap|Hip-Hop,206000
Fergie,Love Is Pain,Double Dutchess,pop|rnb|female vocalists,429000
Jordin Sparks,SOS (Let the Music Play),Essential R&B - Spring 2011,pop|rnb|female vocalists,212000
Avril Lavigne,I Love You,Goodbye Lullaby,pop rock|pop|rock,241000
Jhene Aiko,3:16am,Sail Out,rnb|soul|pop,199000
Fetty Wap,Sweet Yamz,Sweet Yamz,Hip-Hop|rap|trap,105000
Selena Gomez & The Scene,Middle of Nowhere,When the Sun Goes Down,pop|female vocalists|pop rock,206000
Meghan Trainor,Wave (feat. Mike Sabath),,pop|female vocalists|soul,176000
HARDY,"SIGNED, SOBER YOU",WHERE TO FIND ME,country|country rock|post-grunge,208000
HARDY,the mockingbird & THE CROW,the mockingbird & THE CROW - Single,country|country rock|post-grunge,305000
Birdman,"Money To Blow ft. Drake, Lil Wayne",,Hip-Hop|rap|Dirty South,0
John Michael Montgomery,If You've Got Love,Greatest Hits,country|classic country|john michael montgomery,236000
David Guetta,Memories (Featuring Kid Cudi),One love (Deluxe version),House|dance|electronic,210000
Shawn Mendes,When You're Ready,Shawn Mendes,pop|Canadian|folk,169000
Luke Combs,"Houston, We Got a Problem",This One's for You Too (Deluxe Edition),country|country pop|contemporary country,192000
Tiffany,I Just Wanna Dance,I Just Wanna Dance - The 1st Mini Album,pop|80s|female vocalists,78000
Aly & AJ,Symptom of Your Touch,Symptom Of Your Touch / Don't Need Nothing,pop|female vocalists|pop rock,0
Ashlee Simpson,Outta My Head,Bittersweet World,pop|pop rock|female vocalists,212000
Jessie Murph,Sobriety,Sobriety,pop|country|Passion of Discovery,126000
Aly & AJ,Stomach,a touch of the beat gets you up on your feet gets you out and then into the sun,pop|female vocalists|pop rock,195000
21 Savage & Metro Boomin,Rich N***a Shit (feat. Young Thug),,rap|Hip-Hop|trap,0
Michael W. Smith,Carol Ann,Freedom,christian|worship|contemporary christian,215000
Marques Houston,Circles,,rnb|marques houston|soul,0
Young Thug,Millions,Flossin',Hip-Hop|trap|rap,157000
Roddy Ricch,Every Season,Feed Tha Streets ll,rap|Hip-Hop|trap,214000
Lil Tecca,Money On Me,Home Office Hip Hop,rap|Hip-Hop|trap,143000
Simple Plan,This Song Saved My Life,Get Your Heart On!,pop punk|punk rock|rock,192000
Celine Dion,Loved Me Back to Life,Loved Me Back to Life,pop|female vocalists|Canadian,229000
The Pussycat Dolls,Painted Windows,Doll Domination 2.0,pop|rnb|dance,213000
PSY,Right Now,PSYFIVE,k-pop|Korean|pop,203000
New Kids On The Block,Big Girl Now (featuring Lady Gaga),,pop|boybands|80s,0
Jason Derulo,Watcha Say,Summer Sensation 2010,rnb|pop|male vocalists,223000
Kip Moore,Come and Get It,Wild Ones (Deluxe),country|contemporary country|fun,295000
XXXTENTACION,looking for a star,Revenge,Hip-Hop|rap|cloud rap,137000
Avril Lavigne,Everybody Hurts,Goodbye Lullaby,pop rock|pop|rock,221000
Katy Perry,Ghost,PRISM,pop|female vocalists|pop rock,203000
Young Thug,Daddy's Birthday,Beautiful Thugger Girls,Hip-Hop|trap|rap,208000
Ty Dolla $ign,Wheels Fall Off (feat. Ye),WHEELS FALL OFF (feat. Ye),Hip-Hop|rap|rnb,121000
Major Lazer,Make It Hot,,electronic|dancehall|reggae,168000
Jonas Brothers,Inseparable,Jonas Brothers,pop|pop rock|Disney,170000
LL Cool J,Murdergram Deux (feat. Eminem),,Hip-Hop|rap|hip hop,185000
Parker McCollum,Hell of a Year,Probably Wrong,country|americana|folk,232000
Jordin Sparks,Emergency (911),Battlefield (Deluxe Version),pop|rnb|female vocalists,229000
Wyclef Jean,Sweetest Girl,"Just in the Mixtape, Vol. 2",Hip-Hop|reggae|rap,227000
Faith Evans,Beautiful - Interlude,,rnb|soul|female vocalists,0
The Bangles,Something To Believe In,Everything,pop|80s|female vocalists,246000
Dan Hill,It's a Long Road,It's a Long Road,pop|80s|rock,199000
21 Savage & Metro Boomin,X Bitch (Ft. Future),,rap|Hip-Hop|trap,0
Don Toliver,XSCAPE,Life of a DON,rap|trap|Hip-Hop,156000
Kehlani,Water,It Was Good Until It Wasn't,rnb|pop|soul,122000
Bryson Tiller,Just Another Interlude,Just Another Interlude,rnb|Hip-Hop|trap,0
Sting,What Could Have Been (from the series Arcane League of Legends),,rock|pop|classic rock,0
Major Lazer,Rave De Favela (feat. BEAM),Bonde do Major Lazer,electronic|dancehall|reggae,154000
Rodney Atkins,Caught Up In The Country (feat. Fisk Jubilee Singers),Caught Up In The Country (feat. Fisk Jubilee Singers) - Single,country|modern country|contemporary country,160000
PSY,강남스타일,싸이6甲 Part.1,k-pop|Korean|pop,219000
Backstreet Boys,Bigger,This Is Us,pop|boybands|90s,0
Gavin DeGraw,I'm In Love With A Girl,Gavin DeGraw,singer-songwriter|rock|pop,207000
Sean Kingston,Fire Burning On The Dancefloor,Hot Tracks Mainstream Dance 28-3,rnb|Hip-Hop|reggae,368000
Jo Dee Messina,Was That My Life,Greatest Hits,country|female vocalists|Jo Dee Messina,229000
Tevin Campbell,Eye to Eye,,rnb|90s|soul,0
Peter Brown,They Only Come Out at Night,Snap (Bonus Track Version),funk|Disco|disco funk,382000
Lobo,AIORA,,70s|pop|oldies,0
Jack Harlow,Already Best Friends (feat. Chris Brown),Thats What They All Say,rap|Hip-Hop|trap,197000
Don Toliver,Swangin’ On Westheimer,Mellow Bars Rap,rap|trap|Hip-Hop,288000
Kehlani,melt,blue water road,rnb|pop|soul,0
Jose Feliciano,"El Tango De Roxanne - From ""Moulin Rouge"" Soundtrack",,latin|folk|singer-songwriter,0
Rick Ross,In Vein,Mastermind (Deluxe),Hip-Hop|rap|Dirty South,262000
Luke Combs,"1, 2 Many","1, 2 Many",country|country pop|contemporary country,180000
The Chainsmokers,iPad,iPad,electronic|pop|House,202000
Jonas Brothers,Much Better,"Lines, Vines and Trying Times",pop|pop rock|Disney,274000
Simple Plan,Gone Too Soon,Get Your Heart On!,pop punk|punk rock|rock,195000
Mr. Big,Shine,Greatest Hits,hard rock|rock|classic rock,222000
Dru Hill,Love's Train,Dru Hill,rnb|soul|90s,260000
John Parr,St. Elmo's Fire,Letter To America,rock|80s|classic rock,251000
Belinda Carlisle,You're Nothing Without Me,Live Your Life Be Free,pop|80s|female vocalists,234000
Kris Allen,I Was Played,Brand New Shoes,American Idol|singer-songwriter|pop,0
Alex Warren,On My Mind,,folk|pop|singer-songwriter,0
Kehlani,altar,ALTAR,rnb|pop|soul,243000
The Carters,HEARD ABOUT US,EVERYTHING IS LOVE,Hip-Hop|rap|rnb,190000
Kelly Clarkson,Don't Let Me Stop You,All I Ever Wanted,pop|female vocalists|pop rock,200000
Roddy Ricch,Intro,Please Excuse Me for Being Antisocial,rap|Hip-Hop|trap,135000
Yo Gotti,Pose (feat. Lil Uzi Vert),Pose (feat. Lil Uzi Vert) - Single,rap|Hip-Hop|Dirty South,170000
Jennifer Lopez,Dance Again feat. Pitbull,,pop|rnb|latin,0
Jessie J,Breathe,Alive,pop|british|female vocalists,237000
Ray J,Sexy Can I (Feat. Yung Berg),Sexy Can I (feat. Yung Berg) - Single,rnb|Hip-Hop|soul,204000
Belinda Carlisle,Lay Down Your Arms,Real,pop|80s|female vocalists,279000
Breathe,君と彼と僕と彼女と,Tomorrows,pop|80s|new wave,348000
Irene Cara,Flashdance - What a Feeling (Radio Edit),,pop|80s|female vocalists,0
Lil Yachty,Split/Whole Time,Split/Whole Time,trap|rap|Hip-Hop,239000
Don Toliver,4X4,HARDSTONE PSYCHO [Clean] [Clean],rap|trap|Hip-Hop,202000
NLE Choppa,Do It Again (feat. 2Rare),Do It Again (feat. 2Rare),trap|rap|Hip-Hop,213000
Miley Cyrus,Handstand,Endless Summer Vacation,pop|female vocalists|dance,205000
Shinedown,Diamond Eyes (Boom-Lay Boom-Lay Boom),Diamond Eyes (Boom-Lay Boom-Lay Boom),hard rock|rock|alternative rock,336000
Summer Walker,Shame,Last Day Of Summer [Explicit],rnb|soul|Neo-Soul,0
Lil Nas X,Light Again!,Light Again!,Hip-Hop|rap|country rap,177000
Aly & AJ,Joan of Arc on the Dance Floor,We Don't Stop,pop|female vocalists|pop rock,0
The All-American Rejects,Mona Lisa,,rock|pop punk|alternative,194000
Brandy,When You Touch Me,Full Moon,rnb|soul|pop,342000
Riley Green,Hell of a Way to Go,Hell Of A Way To Go - Single,country|american|Alabama,166000
Riley Green,Georgia Time,Georgia Time,country|american|Alabama,221000
The Intruders,Come home soon,,soul|philly soul|70s,134000
Jesse McCartney,Bleeding Love,Departure,pop|male vocalists|pop rock,0
Eddy Arnold,The Cattle Call,Our Last Goodbye,country|classic country|male vocalists,143000
Kip Moore,Girl of the Summer,Wild Ones (Deluxe),country|contemporary country|fun,236000
Kodak Black,Like Dat,Institution,furry|Hip-Hop|Roblox,200000
Good Charlotte,Dance Floor Anthem,Dance Floor Anthem,punk rock|pop punk|rock,246000
Calvin Harris,I'm Not Alone,I'm Not Alone,electronic|dance|electro,212000
Florida Georgia Line,This Is How We Roll,Here's to the Good Times...This Is How We Roll,country|country rock|male vocalists,221000
Pet Shop Boys,Love etc.,Yes,synthpop|electronic|pop,483000
Gucci Mane,Dope Love,Trap House 4,Hip-Hop|rap|Dirty South,203000
Khalid,Motion,Suncity [Explicit],soul|pop|rnb,235000
Christina Perri,a thousand years (lullaby),a thousand years (lullaby),pop|female vocalists|singer-songwriter,171000
Future & Lil Uzi Vert,Patek,Pluto x Baby Pluto (Deluxe),rap|Hip-Hop|trap,280000
Blessid Union Of Souls,Brother My Brother,The Singles,pop|alternative|pop rock,227000
Katrina And The Waves,Sun Street,The Best of Katrina and the Waves,pop|80s|rock,192000
Jeffrey Osborne,We Both Deserve Each Other's Love,Greatest Hits Live!,soul|rnb|80s,187000
Imagine Dragons,Lonely,Mercury - Act 1,indie|indie rock|alternative,159000
Ellie Goulding,Human,Bright Lights,female vocalists|electronic|british,249000
Lil Yachty,YAE ENERGY,YAE ENERGY - Single,trap|rap|Hip-Hop,102000
Wiz Khalifa,This Plane,Deal Or No Deal,Hip-Hop|rap|hip hop,197000
Jon Pardi,Can't Turn You Down,California Sunrise,country|contemporary country|american,204000
The All-American Rejects,Sunshine,When the World Comes Down,rock|pop punk|alternative,179000
Kane Brown,Lost in the Middle of Nowhere (feat. Becky G),Experiment Extended,country|country pop|contemporary country,188000
The New Seekers,Free To Be...You And Me (Reprise) - Outro,,pop|70s|folk,0
21 Savage & Metro Boomin,X Bitch (feat. Future),,rap|Hip-Hop|trap,0
Baby Keem,FRANCE FREESTYLE,DIE FOR MY BITCH,rap|Hip-Hop|trap,145000
ScHoolboy Q,JoHn Muir,Blank Face LP,Hip-Hop|rap|underground hip-hop,219000
Gucci Mane,Point in My Life,Trap House 3,Hip-Hop|rap|Dirty South,210000
Baby Keem,ROCKSTAR P,DIE FOR MY BITCH,rap|Hip-Hop|trap,136000
Justin Timberlake,Better Place (Family Harmony),TROLLS Band Together (Original Motion Picture Soundtrack),pop|rnb|dance,116000
Ellie Goulding,Goodness Gracious,Halcyon Days,female vocalists|electronic|british,226000
Shakira,Sale el Sol,Sale el Sol,pop|latin|female vocalists,199000
Lil Yachty,COUNT ME IN,Lil Boat 2,trap|rap|Hip-Hop,137000
Mumford & Sons,Dustbowl Dance,Live From Red Rocks,folk|indie|british,296000
Nelly Furtado,Spirit Indestructible,The Spirit Indestructible,pop|female vocalists|folk,247000
Jonas Brothers,Backwards,Greetings From Your Hometown,pop|pop rock|Disney,180000
KIDS SEE GHOSTS,"Freeee (Ghost Town, Pt. 2) [feat. Ty Dolla $ign]",Kids See Ghosts,Hip-Hop|rap|hip hop,206000
Jamie Foxx,Blame It (Feat T-Pain),,rnb|soul|Hip-Hop,0
Frankie J,Never Let You Down (Feat Krayzie Bone & Layzie Bone),,rnb|pop|Hip-Hop,0
21 Savage,4L,i am > i was,trap|Hip-Hop|rap,288000
Gunna,STREET SWEEPER (feat. Future),WUNNA (Deluxe),rap|trap|Hip-Hop,192000
Jack Harlow,Luv Is Dro (feat. Static Major & Bryson Tiller),Thats What They All Say,rap|Hip-Hop|trap,177000
The All-American Rejects,Another Heart Calls,When the World Comes Down,rock|pop punk|alternative,247000
Khalid,Skyline,Skyline,soul|pop|rnb,182000
Saweetie,Sway With Me (with GALXARA),,Hip-Hop|rap|better than selena gomez,0
Ellie Goulding,Little Dreams,Bright Lights,female vocalists|electronic|british,198000
PSY,I Luv It,PSY 8th 4X2=8,k-pop|Korean|pop,188000
Cody Johnson,Me and My Kind,Cowboy Like Me,country|USA|United States,156000
Akon,Beautiful Ft. Colby O'Donis And Kardinal Offishall,,rnb|Hip-Hop|rap,0
Toni Braxton,Yesterday,Pulse,soul|rnb|female vocalists,228000
Jamie Foxx,Blame It( ft. T-Pain),,rnb|soul|Hip-Hop,0
Cher,Take It Like a Man,Closer to the Truth,pop|female vocalists|80s,251000
Riley Green,Bury Me in Dixie,Bury Me in Dixie,country|american|Alabama,188000
Keyshia Cole,Fallin Out,,rnb|soul|female vocalists,0
Avant,Lie About Us (Feat. Nicole Scherzinger),Best Of Avant,rnb|soul|avant,249000
Taio Cruz,There She Goes (feat. Pitbull),TY.O (Special Edition) [Special Edition],rnb|pop|Hip-Hop,224000
Jamie Foxx,Fly Love,Rio: Music From The Motion Picture,rnb|soul|Hip-Hop,159000
Breaking Benjamin,Anthem Of The Angels,Dear Agony,alternative rock|rock|hard rock,243000
Journey,Don't Stop Believing,Greatest Hits,classic rock|80s|rock,253000
Charlie Puth,BOY,Best of Charlie Puth,pop|rnb|soul,263000
Jack Harlow,GHOST,Confetti,rap|Hip-Hop|trap,140000
Luke Combs,Dive - Recorded at Sound Stage Nashville,Spotify Singles,country|country pop|contemporary country,260000
Third Eye Blind,Blinded,A Collection,alternative rock|rock|alternative,241000
T.I.,Live Your Life (ft. Rihanna),,Hip-Hop|rap|Dirty South,0
Jelly Roll,Run It,Run It,rap|Hip-Hop|country rap,159000
Natasha Bedingfield,"These Words (I Love You, I Love You)",Now 20,pop|female vocalists|british,217000
Cinderella,Bato sa buhangin,Cinderella,hard rock|Glam Metal|hair metal,208000
Omarion,Ice Box (Prod. by Timbaland),,rnb|Hip-Hop|pop,0
T.G. Sheppard,Slow Burn,All Time Greatest Hits,country|classic country|male vocalists,201000
